event_id,ticker,car_s1_0_1,car_s1_0_2,car_s1_0_5,car_s1_0_20
AIT-2022-12-001,RKLB,0.01873771,0.03215407,0.05177813,0.13406989
AIT-2022-12-001,ROP,-0.00748296,0.00069134,-0.00504333,0.02463673
AIT-2022-12-001,ROST,-0.00807672,-0.01367912,-0.01539756,-0.00108656
AIT-2022-12-001,SBUX,-0.00274568,-0.01103096,-0.01407138,0.01850944
AIT-2022-12-001,SHOP,-0.00213225,-0.03756000,-0.02849615,0.01051112
AIT-2022-12-001,SNPS,0.00319729,0.00972143,0.00418977,-0.00892810
AIT-2022-12-001,STX,0.03523269,0.04752188,0.02595484,0.13924125
AIT-2022-12-001,TER,0.01235638,0.01330948,-0.01293085,0.04461967
AIT-2022-12-001,TMUS,-0.05210524,-0.05869596,-0.06028890,-0.02116072
AIT-2022-12-001,TRI,-0.00295869,-0.00672109,-0.01014036,-0.00601399
AIT-2022-12-001,TSLA,0.03126293,-0.05463538,-0.07147759,-0.29413132
AIT-2022-12-001,TSM,0.02045816,0.00274216,0.00227899,0.05761538
AIT-2022-12-001,TTWO,0.02896583,0.02332730,0.04083719,0.10218494
AIT-2022-12-001,TXN,0.00096760,0.00349956,-0.01721801,0.00996475
AIT-2022-12-001,UMC,-0.00863834,-0.01289370,-0.00953640,0.03546214
AIT-2022-12-001,VRTX,-0.02104302,-0.02604065,-0.03576460,-0.15176620
AIT-2022-12-001,WBD,0.04051656,0.04193379,-0.02931103,0.19370798
AIT-2022-12-001,WDAY,0.03142727,0.03097698,0.08303975,0.02925851
AIT-2022-12-001,WDC,0.04786619,0.04285210,-0.03139942,0.15025023
AIT-2022-12-001,WMT,-0.02363312,-0.01269565,-0.02219984,-0.03718754
AIT-2022-12-001,XEL,0.01273961,0.02975763,0.02649713,0.04444595
AIT-2023-03-002,AAPL,0.00616685,0.01563863,0.02582238,0.00194490
AIT-2023-03-002,ABNB,0.01165147,0.01460581,0.02831103,-0.13388438
AIT-2023-03-002,ADBE,0.04576366,0.07711587,0.08305085,0.06936744
AIT-2023-03-002,ADI,-0.01495124,-0.00520497,-0.01036884,-0.07300589
AIT-2023-03-002,ADP,-0.00079975,-0.00178281,-0.00723493,-0.04151913
AIT-2023-03-002,ADSK,-0.01254063,-0.00136036,-0.01484062,-0.12093645
AIT-2023-03-002,AEP,0.01333648,0.00768802,-0.03672709,0.01767659
AIT-2023-03-002,ALNY,-0.00422239,-0.01615409,-0.00767757,-0.01648589
