"date","portfolio","event_window","event_portfolio_return","active_events"
2025-01-10,"hardware_minus_unrelated","0_10",-0.00961018177126926,1
2025-01-10,"competitor_minus_unrelated","pre_11_1",0.0017920618816925,4
2025-01-10,"competitor_minus_unrelated","0_10",0.00312760963823554,1
2025-01-10,"competitor_minus_unrelated","pre_21_1",0.000720931427547053,6
2025-01-10,"competitor_minus_unrelated","0_20",8.18725349094641e-05,5
2025-01-10,"hardware_minus_unrelated","0_20",-0.00961018177126926,5
2025-01-10,"hardware_minus_unrelated","pre_11_1",-0.00961018177126926,4
2025-01-10,"deployer_minus_unrelated","0_20",-0.020532516463925,5
2025-01-10,"deployer_minus_unrelated","pre_11_1",-0.020532516463925,4
2025-01-10,"hardware_minus_unrelated","pre_21_1",-0.00961018177126926,6
2025-01-10,"deployer_minus_unrelated","0_10",-0.020532516463925,1
2025-01-10,"deployer_minus_unrelated","pre_21_1",-0.020532516463925,6
2025-01-13,"deployer_minus_unrelated","pre_21_1",-0.00830876515374709,6
2025-01-13,"competitor_minus_unrelated","pre_11_1",-0.0127882420308657,4
